,,,,,,Travel Time,,,,Weather,,,,,,,,,,,,,,,,
Area,Country,"Volume of 
Trad Multi-pitch",Height ,Typical MAX Hights (m),Dificulty,Rough Travel Time from UK,Nearest Transport Hub ,Minimum Trip,Rough Cost,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Link,To UK Hub,Pre Departure contingency,Transit Time,Transport Hub to Climb (mins)
Tenerife,Spain,Smaller,,240,Full Range,6-8 hours,Teneriffe South Airport,3 days,,,,,,,,,,,,,,"https://www.multi-pitch.com/climbs/mendez-and-guillermo-on-cathedral-rock/
https://www.thecrag.com/en/climbing/spain/tenerife/area/4440527229
https://www.thecrag.com/en/climbing/spain/tenerife/area/4440502440 
https://anuestraputabolacroquis.blogspot.com/search/label/P.N.%20DEL%20TEIDE?m=0    
https://tenerifeescalada.blogspot.com/?m=1 ",,2h,,
Mallorca,Spain,Smaller,,250,Full Range,6-8 hours,Palma,4 days,,,,,,,,,,,,,,https://www.ukclimbing.com/logbook/crags/sa_gubia-1740/albahida_gubia_normal-24422,,2h,,
Riglos,Spain,Moderate,,300,Medium to Hard,8-10 hours,Barcelona,6 days,,,,,,,,,,,,,,,,2h,,
Vratsa,Bulgaria,Large,,400,Hard,6-8 hours,Sofia,6 days,,,,,,,,,,,,,,,,2h,,
Elbsandstein,Germany,Smaller,,100,Medium to Hard,4-6 hours,Prague,5 days,,,,,,,,,,,,,,https://www.mountainproject.com/area/106158326/elbsandstein,,2h,,
East Tyrol,Austria,Large,,500,Medium to Hard,8-10 hours,Innesbruk / Saltzburg,5 days,,,,,,,,,,,,,,,,2h,,
Picos Europa,Spain,Moderate,,680,Medium to Hard,8-10 hours,Bilbao,5 days,,,,,,,,,,,,,,,,2h,,
Montserrat,Spain,Large,,400,Medium to Hard,4-6 hours,Barcelona,4 days,,,,,,,,,,,,,,,,2h,,
Freÿr,Belgium,Moderate,,100,Full Range,6-8 hours,Dunkirk / Calais,3 days,,,,,,,,,,,,,,,,1h,,
Meteora,Greece,Large,,250,Medium to Hard,8-10 hours,Thessaloniki,5 days,,,,,,,,,,,,,,,,2h,,
Dolomites,Italy,Vast,,800,Full Range,6-8 hours,,4 days,,,,,,,,,,,,,,,,2h,,
Anti Atlas,Morocco,Vast,,800,Full Range,6-8 hours,Agadir,5 days,,,,,,,,,,,,,,,,2h,,
Aaran,Scotland,Smaller,,400,Medium to Hard,4-6 hours,Glassgow,3 days,,,,,,,,,,,,,,,,,,
Bruggler,Swizzerland,Smaller,,,Medium to Hard,,,4 days,,,,,,,,,,,,,,,,2h,,
Mournes,N. Ireland,Moderate,,150,Full Range,< 4 hours,Belfast,2 days,,,,,,,,,,,,,,,,2h,,
Lake District,England,Large,,,Full Range,4-6 hours,Kendal,3 days,,,,,,,,,,,,,,,,,,
Llanberis,Wales,Vast,,300,Full Range,4-6 hours,,3 days,,,,,,,,,,,,,,,,,,
Setesdal ,Norway,Large,,,Full Range,,,6 days,,,,,,,,,,,,,,https://rockrun.com/blogs/the-flash-rock-run-blog/climbing-in-setesdal-norway-destination-article,,2h,,
Loften,Norway,Large,,,Full Range,,,10 days,,,,,,,,,,,,,,,,2h,,
Wadi Rum,Jordan,Large,,,Medium to Hard,,,,,,,,,,,,,,,,,"https://www.ukclimbing.com/logbook/crags/wadi_rum-2776/the_eye_of_allah-88015#overview
https://www.ukclimbing.com/articles/destinations/wadi_rum_-_a_desert_sandstone_wonderland-8747",,2h,,
Triglav,Slovinia,Smaller,,800,Easy to Medium,,,5 days,,,,,,,,,,,,,,,,2h,,
Lundy,England,Smaller,,120,Full Range,6-8 hours,,4 days,,,,,,,,,,,,,,,,,,
